gene,A7-A0D9-11A,A7-A0DB-11A,A7-A13G-11A,A7-A0D9-01A,A7-A0DB-01A,A7-A13G-01A
LZTFL1|54585,1966,1832,1907,4604,5831,6485
LZTR1|8216,6370,5217,3299,6370,3435,4230
LZTS1|11178,465,521,304,1503,1004,797
LZTS2|84445,7073,6348,3635,7510,7314,5501
M6PR|4074,8135,8889,5877,9867,11549,11394
MAB21L1|4081,1065,548,802,52,181,31
MAB21L2|10586,2,6,4,6,11,2
MACC1|346389,564,405,387,883,2064,5506
MACF1|23499,41593,33679,31639,44413,23463,47377
MACROD1|28992,850,783,405,3182,1639,913
MACROD2|140733,589,380,378,1356,1641,426
MAD1L1|8379,1875,1764,533,3098,3029,782
MAD2L1BP|9587,1203,1257,1062,1450,2343,2236
MAD2L1|4085,154,411,137,874,1553,585
MAD2L2|10459,899,1533,702,2151,2435,1250
MADCAM1|8174,12,4,4,9,9,72
MADD|8567,4054,4759,2714,7507,6253,7580
MAEA|10296,3960,3685,2132,7094,5758,5181
MAEL|84944,48,40,45,103,55,80
MAF1|84232,12172,10838,5892,24568,9090,5132
MAFA|389692,2,0,2,2,1,0
MAFB|9935,10535,16138,5154,8435,9131,1674
MAFF|23764,3054,1785,1339,1080,737,605
MAFG|4097,4156,3712,2166,2107,2323,2120
MAFK|7975,2509,2228,645,4566,1789,793
MAF|4094,7545,18813,7684,1689,4598,1474
MAGEA10|4109,0,0,0,0,0,0
MAGEA11|4110,8,0,0,19,0,0
MAGEA12|4111,0,0,1,2,0,2
MAGEA1|4100,4,11,0,8,133,0
MAGEA2|4101,10,0,0,5,1,1
MAGEA3|4102,8,25,0,14,0,0
MAGEA4|4103,14,4,0,35,1,0
MAGEA5|4104,1,0,13,0,0,0
MAGEA6|4105,6,2,0,30,14,0
MAGEA8|4107,5,9,2,9,4,35
MAGEA9B|728269,8,6,0,3,7,4
MAGEB10|139422,0,0,0,0,0,0
MAGEB16|139604,0,0,0,0,0,1
MAGEB18|286514,0,0,0,0,0,0
MAGEB1|4112,0,0,0,0,0,0
MAGEB2|4113,5,0,0,0,1,2
MAGEB3|4114,0,0,0,0,0,0
MAGEB4|4115,0,0,0,7,1,0
MAGEB6|158809,0,0,0,2,0,0
MAGEC1|9947,0,0,0,36,2,0
MAGEC2|51438,0,0,0,2,0,0
MAGEC3|139081,0,6,0,2,0,0
MAGED1|9500,8685,9867,4624,14787,57008,30575
MAGED2|10916,11645,11192,7181,43957,69004,49543
MAGED4B|81557,294,644,338,1306,3086,344
MAGED4|728239,15,54,33,84,240,47
MAGEE1|57692,404,454,337,1568,803,625
MAGEE2|139599,8,42,2,2,4,8
MAGEF1|64110,2091,1780,832,4841,4784,4528
MAGEH1|28986,2404,2891,1340,1387,2821,2293
MAGEL2|54551,82,117,164,85,188,65
MAGI1|9223,7022,5481,4175,7578,5439,4621
MAGI2|9863,1807,1210,2196,1011,520,442
MAGI3|260425,1674,1891,1376,10383,4245,4865
MAGIX|79917,129,70,24,421,342,421
MAGOHB|55110,759,763,548,1635,1547,1279
MAGOH|4116,1422,1569,1008,2533,2258,1738
MAGT1|84061,7383,8627,7571,17055,11789,13217
MAG|4099,11,0,2,75,3,76
MAK16|84549,1825,1550,1402,2020,1689,2234
MAK|4117,169,153,171,273,409,598
MAL2|114569,4478,2067,5019,79414,36455,12872
MALAT1|378938,13193,8723,23681,34419,12619,35918
MALL|7851,2570,3502,1652,1739,1332,621
MALT1|10892,2231,2023,2511,5224,1746,2407
MAL|4118,108,61,21,28,27,6
MAMDC2|256691,3952,8476,2502,222,689,181
MAMDC4|158056,85,100,496,245,204,341
MAML1|9794,4202,4691,3251,7707,6926,5095
MAML2|84441,4879,3277,3132,845,1369,474
MAML3|55534,1668,1563,1319,2339,1988,1914
MAMLD1|10046,722,1133,1618,1062,332,207
MAMSTR|284358,53,233,63,138,140,49
MAN1A1|4121,18339,21053,16269,11910,4628,4335
MAN1A2|10905,7686,5306,4892,4591,5609,7833
MAN1B1|11253,5729,5613,2267,6194,13397,9584
MAN1C1|57134,1876,3827,1457,5647,1015,3114
MAN2A1|4124,3431,4615,3316,6146,9425,40034
MAN2A2|4122,14143,13668,12692,14452,6088,6516
MAN2B1|4125,9771,12851,4139,9034,16258,7904
MAN2B2|23324,10946,9773,5507,11739,14295,15195
MAN2C1|4123,6213,5303,3690,30721,4433,3426
MANBAL|63905,5949,4299,2625,4821,7794,5116
MANBA|4126,3281,4956,2910,3436,8272,7377
MANEAL|149175,466,353,286,3223,2639,2001
MANEA|79694,2585,2605,3907,2685,2369,4250
MANF|7873,2002,3106,1008,7522,8046,4104
MANSC1|54682,2782,2899,2140,2259,8800,11276
MAOA|4128,45343,45030,52567,1437,3622,1511
MAOB|4129,29166,15057,13336,1783,19118,626
MAP1A|4130,6637,11606,3102,2604,3100,1444
MAP1B|4131,20993,23386,9348,4316,23970,2712
MAP1D|254042,436,318,397,412,261,364
MAP1LC3A|84557,1873,1307,756,1355,1929,896
MAP1LC3B2|643246,744,741,624,607,374,288
MAP1LC3B|81631,13532,13891,11191,13498,7250,4680
MAP1LC3C|440738,724,1602,1900,157,183,114
MAP1S|55201,1794,1902,867,3643,5157,2358
MAP2K1|5604,11685,7103,4775,24571,4143,3755
MAP2K2|5605,5871,7028,2645,7497,12052,6519
MAP2K3|5606,3428,3641,1968,3001,4271,2776
MAP2K4|6416,3824,2872,2933,3427,6102,15721
MAP2K5|5607,2077,2357,1910,11633,2403,1877
MAP2K6|5608,640,439,592,103,724,169
MAP2K7|5609,3428,2623,1607,5409,3711,2461
MAP2|4133,1022,1040,1813,757,740,211
MAP3K10|4294,688,746,354,1557,1033,885
MAP3K11|4296,5048,6090,2877,5541,7597,5079
MAP3K12|7786,953,1354,545,1666,776,1095
MAP3K13|9175,163,145,92,376,533,793
MAP3K14|9020,1117,1726,807,1075,1957,1686
MAP3K15|389840,464,306,592,394,344,361
MAP3K1|4214,2393,3918,2422,6204,6089,14498
MAP3K2|10746,4697,3228,3460,6467,3748,5457
MAP3K3|4215,7211,7629,4036,3583,3705,2438
MAP3K4|4216,3374,2987,2727,5768,3480,3450
MAP3K5|4217,3122,4893,11027,1657,1712,597
MAP3K6|9064,5658,3390,2206,2136,2261,2690
MAP3K7|6885,3323,2673,2523,6137,3923,4482
MAP3K8|1326,3814,2453,2301,763,503,864
MAP3K9|4293,149,160,144,1048,1196,2443
MAP4K1|11184,248,387,107,258,364,232
MAP4K2|5871,1357,1179,851,2149,1827,2034
MAP4K3|8491,4490,3001,4054,5386,4160,5221
MAP4K4|9448,17636,15766,15561,14023,11364,6811
MAP4K5|11183,4353,3982,4275,6289,6035,5279
MAP4|4134,74669,51890,33288,34970,33921,19403
MAP6D1|79929,119,90,82,869,320,144
MAP6|4135,711,448,541,2634,221,191
MAP7D1|55700,30853,18701,6372,5638,8544,3300
MAP7D2|256714,86,92,88,24,31,8
MAP7D3|79649,6946,5843,5061,1075,916,433
MAP7|9053,987,766,556,7976,6535,8351
MAP9|79884,1523,855,1328,2699,425,229
MAPK10|5602,5382,4237,6450,522,367,114
MAPK11|5600,1561,1668,1820,774,907,830
MAPK12|6300,619,628,665,1915,456,334
MAPK13|5603,729,1219,425,7580,4250,6487
MAPK14|1432,9622,9002,8037,7372,6920,6007
MAPK15|225689,2,6,1,2524,683,855
MAPK1IP1L|93487,6606,7485,6600,6594,13330,9760
MAPK1|5594,14635,14371,11283,20064,11853,18155
MAPK3|5595,12239,9703,6334,10361,8776,6205
MAPK4|5596,48,43,38,108,22,3
MAPK6|5597,3442,3681,2830,5769,5386,7996
MAPK7|5598,1044,1644,784,1501,1568,1015
MAPK8IP1|9479,635,1128,521,2406,630,823
MAPK8IP2|23542,65,78,81,4089,1774,1892
MAPK8IP3|23162,2174,2160,1374,8658,3017,4821
MAPK8|5599,1091,923,890,1912,1187,2487
MAPK9|5601,5635,4526,3990,5986,6388,4430
MAPKAP1|79109,13739,8246,6470,7561,9954,10532
MAPKAPK2|9261,9435,8722,5601,25475,24295,46119
MAPKAPK3|7867,2699,3557,2374,4274,6960,4094
MAPKAPK5|8550,1878,1296,1410,4491,2091,2680
MAPKBP1|23005,2033,1783,1158,1968,2583,2854
MAPKSP1|8649,3575,3273,3226,7638,5636,5113
MAPRE1|22919,14343,12128,7169,11826,20495,13632
MAPRE2|10982,3730,5013,4525,2315,2459,1760
MAPRE3|22924,2423,1648,1990,2615,1300,2149
MAPT|4137,6379,2784,4501,2946,24652,37665
MARCH10|162333,4,0,2,15,5,134
MARCH11|441061,0,2,0,0,36,0
MARCH1|55016,363,639,137,200,367,1003
MARCH2|51257,8714,6664,3131,3694,6132,2064
MARCH3|115123,980,1351,1159,941,325,821
MARCH4|57574,1,0,3,49,16,61
MARCH5|54708,4080,4404,5001,5768,7555,6838
MARCH6|10299,11343,9049,10842,15183,16942,12297
MARCH7|64844,6778,6035,7521,10527,7871,14531
MARCH8|220972,2569,1829,2077,1251,3748,7606
MARCH9|92979,584,753,503,1494,1530,1593
MARCKSL1|65108,1458,2264,927,30634,29719,11132
MARCKS|4082,8228,24815,11091,6950,19381,7121
MARCO|8685,4351,23761,854,107,637,26
MARK1|4139,4907,1617,2127,377,301,113
MARK2|2011,2641,2805,1349,17210,7384,8721
MARK3|4140,5122,5017,3833,9316,6242,5888
MARK4|57787,2541,2487,1286,5332,4290,3138
MARS2|92935,390,398,353,1617,893,665
MARS|4141,4900,5265,2450,8636,8856,7411
MARVELD1|83742,5438,5695,2457,10046,5102,3307
MARVELD2|153562,342,258,247,4877,4603,4569
MARVELD3|91862,191,206,185,1879,1447,2049
MAS1L|116511,40,35,29,4,2,0
MAS1|4142,0,0,0,0,0,0
MASP1|5648,2395,650,615,37,102,22
MASP2|10747,202,204,294,618,132,287
MAST1|22983,133,113,121,390,208,165
MAST2|23139,3779,5022,2139,15388,4243,7633
MAST3|23031,3332,2137,1276,1982,3028,1590
MAST4|375449,7679,4696,4825,4391,5321,6163
MASTL|84930,1025,1010,871,1304,1111,1117
MAT1A|4143,3,60,6,22,10,20
MAT2A|4144,18456,11703,11008,29745,25559,23193
MAT2B|27430,5523,5916,5783,6324,9263,5930
MATK|4145,400,222,6,196,1996,62
MATN1|4146,5,6,4,46,16,47
MATN2|4147,17864,20557,19197,1727,3567,688
MATN3|4148,155,141,205,1537,10302,3592
MATN4|8785,174,127,11,12,10,1
MATR3|9782,24114,24193,24773,36738,47602,50628
MAVS|57506,17865,17757,18511,21327,18375,14218
MAX|4149,5019,5165,3243,4607,8910,5695
MAZ|4150,6783,9550,2594,23555,26957,20382
MBD1|4152,4355,3843,2365,5886,4549,4764
MBD2|8932,17697,10272,8776,15208,8182,8739
MBD3L1|85509,1,0,0,0,0,0
MBD3L2|125997,0,2,0,0,0,0
MBD3L5|284428,0,0,0,1,0,0
MBD3|53615,5441,4682,1457,6511,8457,3111
MBD4|8930,2750,2835,2161,4555,6189,5124
MBD5|55777,1895,1534,1821,2942,1514,2455
MBD6|114785,3573,3299,3042,8543,4590,5883
MBIP|51562,1653,1300,1554,2244,922,849
MBL1P|8512,29,34,64,91,19,16
MBL2|4153,0,0,0,7,2,4
MBLAC1|255374,85,85,29,89,190,100
MBLAC2|153364,623,795,781,1675,1268,819
MBNL1|4154,31358,24310,31372,8761,16170,12008
MBNL2|10150,15886,11624,12398,3165,6407,11944
MBNL3|55796,1288,764,853,216,376,60
MBOAT1|154141,1679,1981,1153,3846,5572,5479
MBOAT2|129642,701,1098,651,2685,6690,8713
MBOAT4|619373,22,20,15,20,13,17
MBOAT7|79143,2255,2296,925,17211,12502,4866
MBP|4155,4555,5204,2442,4534,2523,2708
MBTD1|54799,2371,2082,2865,2127,2964,3207
MBTPS1|8720,16587,13974,11406,23542,16507,18112
MBTPS2|51360,2672,2387,2882,3573,3824,3911
MB|4151,62,19,9,1198,1056,2715
MC1R|4157,53,203,35,491,391,292
MC2R|4158,28,25,35,49,33,40
MC3R|4159,0,0,0,0,2,0
MC4R|4160,2,0,0,4,2,2
MC5R|4161,12,0,2,4,0,0
MCAM|4162,141580,49839,58459,10685,8936,4416
MCART1|92014,2439,1781,2731,1487,1807,2069
MCART2|147407,35,43,55,46,44,36
MCART3P|442229,19,6,13,18,15,7
MCART6|401612,141,105,128,299,185,177
MCAT|27349,815,779,573,1949,1269,1373
MCCC1|56922,7143,5158,12030,3219,3805,1901
MCCC2|64087,5931,6166,9299,23732,34908,16576
MCCD1|401250,0,2,0,2,4,138
MCC|4163,5018,4643,5630,1950,5888,5326
MCEE|84693,966,802,818,836,645,1223
MCF2L2|23101,264,259,212,594,244,279
MCF2L|23263,7245,3867,2313,12320,4638,6036
MCF2|4168,6,16,8,21,5,0
MCFD2|90411,16306,12809,14504,9741,14131,15671
MCHR1|2847,4,1,2,64,9,55
MCHR2|84539,20,18,13,30,15,21
MCL1|4170,61384,43049,39172,25078,54752,48600
MCM10|55388,89,267,74,303,419,310
MCM2|4171,708,1311,415,2521,4915,2436
MCM3APAS|114044,113,96,101,194,275,218
MCM3AP|8888,9778,7069,6252,13188,9318,16885
MCM3|4172,5768,5794,3163,8368,9369,8263
MCM4|4173,1358,2071,1096,17165,4125,5856
MCM5|4174,2073,2959,1072,3175,2725,2534
MCM6|4175,2902,4261,2337,5366,5361,3064
MCM7|4176,5411,5061,2881,6831,9818,3329
MCM8|84515,725,562,1078,1198,1497,1328
MCM9|254394,169,198,279,381,373,751
MCOLN1|57192,2841,8049,1597,4818,3260,1389
MCOLN2|255231,93,46,53,155,155,347
MCOLN3|55283,845,702,1573,840,217,64
MCPH1|79648,2077,1744,1941,2273,2403,3615
MCRS1|10445,3353,3178,1592,5379,5090,4129
MCTP1|79772,2367,1746,1829,657,523,225
MCTP2|55784,232,231,206,366,327,124
MCTS1|28985,3600,3900,2990,4662,5969,4663
MDC1|9656,3194,3041,2572,4552,4354,4749
MDFIC|29969,19557,12585,13690,5844,6739,1127
MDFI|4188,9079,4073,1829,1751,1277,2375
MDGA1|266727,579,885,537,514,476,267
MDGA2|161357,16,40,7,16,9,9
MDH1B|130752,21,46,53,284,423,548
MDH1|4190,20075,30380,30048,9341,15882,14347
MDH2|4191,14127,11456,10831,22273,31638,8759
MDK|4192,1272,1239,726,9364,5222,11061
MDM1|56890,924,756,959,1730,1524,1839
MDM2|4193,6730,6988,8299,13438,11655,14391
MDM4|4194,3310,3796,4180,6568,7065,9693
MDN1|23195,6132,5338,5208,9661,3936,7419
MDP1|145553,485,523,292,603,920,666
MDS2|259283,67,45,63,100,66,89
ME1|4199,10121,8939,13082,2502,2132,955
ME2|4200,2461,4827,2618,4311,2748,2022
ME3|10873,3314,2849,2520,2920,1450,159
MEA1|4201,4975,3987,1891,5418,6736,5217
MEAF6|64769,4303,4216,3104,13897,7741,8615
MECOM|2122,3653,3971,3922,1158,1049,511
MECP2|4204,7526,6954,6066,8782,6651,6161
MECR|51102,2554,1798,1879,2627,2496,1203
MED10|84246,2027,1786,1162,2892,2407,1037
MED11|400569,1426,996,638,818,1283,1540
MED12L|116931,37,24,62,688,313,682
MED12|9968,6671,5645,5279,7010,6565,6786
MED13L|23389,17626,12366,18238,55949,11475,24098
MED13|9969,11831,8781,10582,22672,9660,11898
MED14|9282,3632,4576,3463,15598,4924,5896
MED15|51586,6397,6099,3785,8768,5225,7362
MED16|10025,1938,2510,1172,4808,7833,4375
MED17|9440,1874,1913,1605,3918,2819,3325
MED18|54797,1167,1326,1071,2261,1555,2690
MED19|219541,997,656,463,1902,1542,1442
MED1|5469,7046,5826,6157,5951,7068,8495
MED20|9477,1648,1623,1214,3993,3324,2664
MED21|9412,1749,1872,1656,1958,4367,2464
MED22|6837,2726,2252,1145,2541,4405,2824
MED23|9439,3244,2877,2982,6967,6312,6677
MED24|9862,4456,4436,2935,4643,6858,5880
MED25|81857,1926,2101,1002,5101,5393,3822
MED26|9441,950,866,495,2139,1823,979
MED27|9442,1200,1175,754,1321,1879,1112
MED28|80306,2092,2523,2147,3097,4214,2846
MED29|55588,5046,4944,3417,10562,9627,8816
MED30|90390,567,471,528,1653,415,496
MED31|51003,564,509,405,614,768,830
MED4|29079,4068,3628,3233,5206,4604,3791
MED6|10001,1523,1156,1104,2426,2774,1557
MED7|9443,1063,846,790,995,2176,1291
MED8|112950,3190,2796,1827,3245,3609,3491
MED9|55090,1269,1417,1370,2343,2080,1284
MEF2A|4205,9547,8223,8469,36735,5612,5172
MEF2B|100271849,101,249,229,101,168,118
MEF2C|4208,7630,6335,6064,2427,2317,1467
MEF2D|4209,8055,7108,4385,10390,12089,12311
MEFV|4210,301,211,182,298,215,260
MEG3|55384,544,2634,1651,328,483,268
MEG8|79104,2,20,3,0,0,0
MEGF10|84466,79,55,42,287,210,175
MEGF11|84465,14,7,14,326,12,14
MEGF6|1953,1964,1803,1057,6381,2157,1341
MEGF8|1954,11513,8650,4184,8223,11958,5073
MEGF9|1955,9508,4654,7282,4066,26785,16117
MEI1|150365,144,152,63,155,203,127
MEIG1|644890,4,28,6,13,4,22
MEIS1|4211,1303,1276,915,645,696,325
MEIS2|4212,1403,1569,1422,507,789,263
MEIS3P1|4213,7888,7868,7499,5138,13019,17283
MEIS3|56917,633,688,314,3098,3801,2928
MELK|9833,189,541,89,859,1222,500
MEMO1|51072,2125,2388,1646,2702,3382,2617
MEN1|4221,1736,2279,1213,5129,5378,4341
MEOX1|4222,4104,4143,3322,257,637,55
MEOX2|4223,3511,3889,3466,169,624,194
MEP1A|4224,8,4,2,6,14,0
MEP1B|4225,2,0,0,9,0,0
MEPCE|56257,4446,4125,2393,9730,12355,3163
MEPE|56955,0,0,0,6,2,3
MERTK|10461,1097,2300,764,529,993,390
MESDC1|59274,2401,3598,1624,4055,2771,2054
MESDC2|23184,6111,5458,2968,7887,10320,8515
MESP1|55897,822,588,579,160,1779,444
MESP2|145873,67,86,47,89,431,444
MESTIT1|317751,508,419,428,104,89,68
MEST|4232,30729,33729,33076,86920,7849,987
METAP1|23173,2841,3184,2535,6605,5494,3605
METAP2|10988,7422,6707,6634,8089,7984,8535
METRNL|284207,3032,4483,538,2960,3068,871
METRN|79006,424,222,121,2073,4792,3215
METT10D|79066,3658,2973,2946,5514,5006,5266
METT11D1|64745,1883,1580,1663,2799,3148,2589
METT5D1|196074,1007,1341,1479,2268,3021,2704
METTL10|399818,1289,937,1167,2135,1178,1433
METTL11A|28989,995,986,310,1033,2082,1017
METTL11B|149281,1,0,0,40,34,6
METTL12|751071,164,268,213,584,420,251
METTL13|51603,3757,3477,1970,4345,9047,7916
METTL14|57721,2065,1587,1453,2816,2597,2670
METTL1|4234,765,699,422,1782,1945,1838
METTL2A|339175,1936,1760,1471,4267,2698,2276
METTL2B|55798,2507,1920,1525,3966,3404,1378
METTL3|56339,2342,2159,1866,4323,3894,3375
METTL4|64863,1004,935,963,1020,969,1663
METTL5|29081,3301,2717,2325,2364,2953,2669
METTL6|131965,1235,1021,1037,2159,2461,2018
METTL7A|25840,28759,28647,31860,3431,7092,3381
METTL7B|196410,115,108,105,52,104,2
METTL8|79828,2862,2376,2025,3134,2488,3066
METTL9|51108,8626,9069,9074,9588,11412,9486
MET|4233,5558,5272,8644,1515,1527,504
MEX3A|92312,88,74,32,575,2653,1801
MEX3B|84206,197,550,202,754,445,107
MEX3C|51320,3645,3537,2976,5231,3483,3160
MEX3D|399664,814,952,430,2512,3029,1308
MFAP1|4236,3322,3009,1777,2832,5525,5373
MFAP2|4237,1125,1513,535,3492,5819,3035
MFAP3L|9848,628,469,284,5426,1825,369
MFAP3|4238,5383,4758,5046,3122,8632,9175
MFAP4|4239,44279,31938,17545,2140,6481,1794
MFAP5|8076,32478,106496,18786,3432,8833,2155
MFF|56947,5459,5003,4134,5775,5146,6924
MFGE8|4240,19919,16639,6189,8177,11671,2857
MFHAS1|9258,1069,1773,876,1386,1267,2311
MFI2|4241,667,1921,181,686,769,296
MFN1|55669,3277,3159,3095,5468,5016,4549
MFN2|9927,15528,10392,9974,15479,12230,17190
MFNG|4242,2187,3222,1316,448,1160,275
MFRP|83552,2968,5064,677,1388,4022,1177
MFSD10|10227,2319,2491,1366,6923,7812,4700
MFSD11|79157,3067,2905,2429,2359,4417,3498
MFSD1|64747,8363,13309,5892,9469,15547,9710
MFSD2A|84879,163,190,47,684,457,224
MFSD2B|388931,17,12,14,12,14,3
MFSD3|113655,456,474,305,9376,2304,1512
MFSD4|148808,613,562,870,227,275,288
MFSD5|84975,2381,2888,1481,3199,5629,4671
MFSD6L|162387,10,4,3,10,646,634
MFSD6|54842,3410,3071,2797,10268,8385,19475
MFSD7|84179,536,919,359,1223,3289,3514
MFSD8|256471,1240,1104,1446,3832,1539,1709
MFSD9|84804,1111,795,622,1162,671,566
MGAM|8972,236,18,18,269,676,1434
MGAT1|4245,19846,25285,10303,9324,24003,8563
MGAT2|4247,2669,3826,2717,2593,6284,4563
MGAT3|4248,3710,2415,1302,336,439,120
MGAT4A|11320,2387,2772,2289,7912,8255,19963
MGAT4B|11282,4263,5347,2843,10171,11370,6521
MGAT4C|25834,0,16,15,0,0,2
MGAT5B|146664,59,87,39,1260,39,46
MGAT5|4249,1510,1237,996,2004,2303,1267
MGA|23269,4353,4434,4358,6667,5690,7073
MGC12916|84815,15,8,24,64,8,22
MGC12982|84793,193,239,122,180,235,126
MGC14436|84983,67,87,145,78,27,95
MGC15885|197003,24,2,12,2,4,1
MGC16025|85009,0,0,0,4,2,4
MGC16121|84848,43,59,21,80,52,30
MGC16142|84849,97,98,65,152,147,94
MGC16275|85001,163,191,99,96,175,122
MGC16384|114130,24,21,36,107,18,59
MGC16703|113691,116,141,153,216,166,201
MGC21881|389741,938,896,590,601,725,313
MGC23270|196872,79,136,88,326,651,211
MGC23284|197187,262,244,258,647,266,183
MGC26647|219557,0,0,0,0,0,0
MGC27382|149047,274,169,102,142,87,119
MGC2752|65996,2372,2620,1816,3056,3232,3735
MGC2889|84789,17,18,15,52,23,22
MGC29506|51237,72,14,12,779,482,108
MGC34034|154089,15,10,12,24,13,7
MGC3771|81854,110,76,97,146,144,261
MGC42105|167359,41,40,31,89,14,71
MGC4473|79100,1,0,1,8,1,1
MGC45800|90768,678,624,704,870,56,26
MGC57346|401884,620,726,603,1341,1063,1082
MGC70857|414919,977,925,729,2278,2014,851
MGC72080|389538,619,421,344,1586,492,170
MGC87042|256227,124,178,110,58,189,63
MGEA5|10724,29368,18556,30535,38481,23924,22927
MGLL|11343,97116,40340,61684,30273,7903,987
MGMT|4255,3419,3121,1225,2918,4406,1334
MGP|4256,69734,82794,34744,9494,784318,123745
MGRN1|23295,3976,4034,2682,8588,9225,9689
MGST1|4257,70953,43913,58342,34881,16287,14085
MGST2|4258,3744,3681,2554,2541,4163,3942
MGST3|4259,24335,13796,16450,3752,12836,5275
MIA2|117153,2,4,4,12,13,3
MIA3|375056,11670,10495,12309,10132,25897,30417
MIAT|440823,390,257,174,1112,576,1195
MIA|8190,80,25,23,42,239,69
MIB1|57534,5705,6161,6605,9663,12994,14111
MIB2|142678,1154,911,378,1885,1708,994
MICAL1|64780,1565,2281,600,4702,3589,2365
MICAL2|9645,1567,2368,1874,22038,7822,11027
MICAL3|57553,5716,3984,2961,2993,2434,3147
MICALCL|84953,32,20,12,467,219,492
MICALL1|85377,1797,2388,1121,3648,2164,2456
MICALL2|79778,354,638,122,4087,1593,1593
MICA|4276,1557,1242,1419,1114,1185,1764
MICB|4277,352,562,229,602,440,979
MID1IP1|58526,3808,3821,1933,871,2643,1685
MID1|4281,3417,1880,1517,523,577,228
MID2|11043,5754,3758,6219,5412,3207,4146
MIDN|90007,4221,3028,4348,11940,16920,12689
MIER1|57708,3749,4853,4361,4308,6638,6138
MIER2|54531,1561,1895,1031,2977,3090,1324
MIER3|166968,1893,2065,2441,6088,4956,4165
MIF4GD|57409,1892,1714,964,1300,1945,2112
MIF|4282,2287,2052,970,13614,11282,10634
MIIP|60672,693,1097,545,1503,1814,1165
MIMT1|100073347,0,0,0,10,0,4
MINA|84864,5426,5038,5520,4866,4689,3097
MINK1|50488,6794,6271,3211,5826,9105,7387
MINPP1|9562,1396,1374,1243,2653,675,3094
MIOS|54468,2192,2114,1980,5120,5213,2552
MIOX|55586,3,0,0,1,11,12
MIPEP|4285,1333,1260,1268,3387,3977,4222
MIPOL1|145282,3143,3108,4362,7953,5799,12833
MIP|4284,3,4,0,10,8,2
MIR155HG|114614,10,38,20,18,61,8
MIR17HG|407975,123,106,163,139,120,90
MIS12|79003,1960,1505,1674,1516,2435,2853
MITD1|129531,900,971,754,948,1174,1400
MITF|4286,3967,3876,3027,1225,2043,1971
MIXL1|83881,0,0,0,0,0,0
MKI67IP|84365,1904,1803,1549,4582,4130,2902
MKI67|4288,504,3599,118,3457,5394,3820
MKKS|8195,4968,4068,3504,4167,5190,5137
MKL1|57591,2595,3285,1336,5034,3566,3547
MKL2|57496,14394,10341,12192,11540,14263,20467
MKLN1|4289,11155,9829,11792,11953,11343,6058
MKNK1|8569,3571,4207,3056,3401,1813,2604
MKNK2|2872,16846,19439,21973,40151,31393,23310
MKRN1|23608,11127,10338,8026,26801,20628,7996
MKRN2|23609,3324,2756,2979,4893,3426,3126
MKRN3|7681,19,18,28,36,29,13
MKS1|54903,751,819,629,1050,1648,1259
MKX|283078,215,358,1543,36,120,26
MLANA|2315,133,110,161,205,167,194
MLC1|23209,59,54,40,29,27,15
MLEC|9761,29347,25939,23488,40994,46907,54155
MLF1IP|79682,221,386,214,1422,1079,2136
MLF1|4291,814,762,1059,2981,3499,2591
MLF2|8079,11249,9388,5618,17959,17818,12509
MLH1|4292,3322,3114,2457,4752,6405,5413
MLH3|27030,1617,1925,1299,2812,2533,2841
MLKL|197259,1293,1656,1025,604,751,358
MLL2|8085,10854,9640,5882,20704,10065,10656
MLL3|58508,12387,11276,11014,24057,17364,9911
MLL4|9757,3549,3605,2161,7100,6393,4366
MLL5|55904,9033,8075,8043,10788,12376,7267
MLLT10|8028,2956,2770,3300,4916,2239,5108
MLLT11|10962,118,282,89,456,657,2150
MLLT1|4298,6588,7317,4087,10348,11431,7308
MLLT3|4300,993,946,1092,1101,2789,3930
MLLT4|4301,8976,8234,8891,22110,9244,22853
MLLT6|4302,14136,12096,8936,12071,14478,16337
MLL|4297,9766,10044,9254,13117,8809,13990
MLNR|2862,4,4,4,0,12,0
MLN|4295,0,0,0,0,0,1
MLPH|79083,1482,1176,630,34800,46661,62770
MLST8|64223,1858,1980,1388,4430,5277,4888
MLXIPL|51085,6334,4385,10146,462,465,1968
MLXIP|22877,6512,6197,4122,4452,3864,2318
MLX|6945,6421,5813,6287,5956,3855,4137
MLYCD|23417,1962,2253,2249,1506,1243,685
MMAA|166785,1027,921,1156,1136,1535,2144
MMAB|326625,2496,1798,2269,2925,2757,2814
MMACHC|25974,512,394,548,750,911,1534
MMADHC|27249,6702,6750,6298,10221,8851,12133
MMD2|221938,96,37,51,146,86,76
MMD|23531,39777,14524,34270,1157,2694,551
MMEL1|79258,43,71,64,706,298,421
MME|4311,32645,20803,64039,1256,4705,783
MMGT1|93380,5888,4917,5553,3127,3951,3103
MMP10|4319,2,24,0,139,431,1427
MMP11|4320,489,669,122,53282,16708,8952
MMP12|4321,194,78,5,316,1326,43
MMP13|4322,20,4,2,2283,1808,1056
MMP14|4323,22597,29000,7623,48599,43308,22954
MMP15|4324,3106,3501,2439,9717,3622,1922
MMP16|4325,383,1050,291,5387,480,873
MMP17|4326,576,423,285,948,679,478
MMP19|4327,6901,7153,3869,1714,5026,957
MMP1|4312,58,120,4,520,218,54
MMP20|9313,0,0,0,0,10,0
MMP21|118856,12,10,2,15,6,23
MMP23A|8511,89,208,49,41,87,43
MMP23B|8510,241,518,193,113,334,104
MMP24|10893,2458,1550,990,1352,1276,1478
